section,source,item,endpoint,balanced_accuracy,macro_f1,roc_auc,uncertainty_or_distribution,p_value_or_test,interpretation
V2 matched ablation,20260821 Stage3 star,InceptionTime B0,participant OOF,56.8,57.2,N/A,"mean±SD 56.8±2.1 / 57.2±2.2",see source comparison inference,"within-model reference"
V2 matched ablation,20260821 Stage3 star,InceptionTime B7 Line-B aggregation,participant OOF,57.3,57.9,N/A,"delta vs B0 +0.6±1.9 BA pp",see source comparison inference,"best Inception point estimate; no universal causal claim"
V2 peak ablation,20260823 peak v3,MSPTDfast v2.3 Python IR,recording beat detection,N/A,99.7,N/A,"median [Q1,Q3] 99.7 [99.4,99.8]; PPI-RR RMSE 19.2 [15.8,27.7] ms","vs aboy IR Holm-Sidak P=1.18e-5","default peak detector"
V2 peak ablation,20260823 peak v3,aboy_project IR,recording beat detection,N/A,97.8,N/A,"median [Q1,Q3] 97.8 [90.8,98.8]; PPI-RR RMSE 35.2 [31.0,38.4] ms",reference comparator,"explicit ablation"
V2 hyperparameter,20260822 Stage6 batch/LR,b16_lr3e-4,participant OOF,59.5,59.4,75.7,"BA 59.5±6.2 repeat t-CI [51.9,67.2]; cluster CI [45.4,73.0]","no candidate Holm-adjusted superiority","persisted development choice"
V2 hyperparameter,20260823 Stage6 regularization,R9 wd.01/do.7/LS.1,participant OOF,58.9,59.4,75.5,"BA 58.9±4.0 repeat t-CI [54.0,63.8]","vs R2 Holm P=1.0 BA/F1","point leader only"
V2 hyperparameter,20260823 Stage6 regularization,R2 wd.001/do.5/LS.2,participant OOF,58.1,57.5,74.0,"BA 58.1±3.3 repeat t-CI [54.1,62.2]",reference,"persisted orchestration choice; report R9 sensitivity"
V2 Stage1 provisional,20260823 Stage1 four-route,configured Full Inception raw,participant OOF,56.6,55.2,74.2,"BA 56.6±5.2 repeat t-CI [50.1,63.0]; cluster CI [42.4,69.6]","vs Compact Holm BA P=1.0; F1 P=.942","provisional point leader; Fusion absent"
V2 Stage1 provisional,20260823 Stage1 four-route,default CompactCNN raw,participant OOF,51.5,50.4,66.9,"BA 51.5±3.9 repeat t-CI [46.7,56.3]",reference,"provisional reference"
V2 Stage1 provisional,20260823 Stage1 four-route,default logistic feature vector,participant OOF,48.4,49.7,67.6,"BA 48.4±3.2 repeat t-CI [44.5,52.4]","vs Compact Holm P=1.0","provisional"
V2 Stage1 provisional,20260823 Stage1 four-route,default Matrix Small Inception,participant OOF,44.7,35.8,61.4,"BA 44.7±4.3 repeat t-CI [39.4,50.0]","vs Compact BA Holm P=1.0; F1 P=.564","low point estimate and poor worst-class evidence"
V2 Stage5-pre,20260820 225546,Frailty29-trained motion detector Frailty29 OOF,file protocol-state,96.8,96.8,96.3,"participant-cluster BA CI [93.0,99.5]",N/A,"strong internal protocol-state discrimination"
V2 Stage5-pre,20260820 225546,Frailty29-trained detector to PTT22,file protocol-state,78.4,71.2,100.0,"participant-cluster BA CI [71.6,85.2]",N/A,"complete cross-dataset benchmark; low motion sensitivity .568"
V2 Stage5-pre,20260820 225546,PTT22-trained detector to Frailty29,file protocol-state,50.0,30.2,56.7,"specificity 0; all Frailty29 files classified motion",N/A,"threshold/domain transfer failure; do not deploy"
V2 Stage5-pre,20260820 182324,PCA-BSS dynamic IR,subject-macro denoiser,N/A,93.7,N/A,"PPI-RR RMSE 71.4±43.4 ms; full participant coverage",N/A,"preferred dynamic denoiser candidate by RMSE"
V2 Stage5-pre,20260820 182324,FastICA-BSS dynamic IR,subject-macro denoiser,N/A,93.8,N/A,"PPI-RR RMSE 71.7±39.9 ms; 14 failed segments",N/A,"parallel ablation; similar endpoint but slower/more failures"
V2 Stage5 composition,20260823 111337,SQI-motion-denoiser routes,participant OOF,N/A,N/A,N/A,"no valid completed cells",N/A,"pending rerun after short-record window policy fix"
Final confirmation,pending,fully locked pipeline,participant OOF 5x5,N/A,N/A,N/A,"participant-cluster CI and repeat stability required","predeclared paired tests only if comparison remains","must not be run or interpreted until Stage1 and Stage5 freezes are complete"
