case_id,changed_values,config_sha256,is_reference,config_id,output_group,catalog_entry,screen_profile_id,rationale,case_directory,resolved_config_path
inception_matrix__lr1e3_wd1e4,"{""study.catalog_entry"": ""inception_matrix"", ""study.screen_profile_id"": ""lr1e3_wd1e4"", ""training.learning_rate"": 0.001, ""training.weight_decay"": 0.0001}",4f787a29cef2b3cda1212a3606fd9acfbe408c6793cbb10d8d7f7e5ee71b170d,False,formal_inception_matrix_line_b_v2__lr1e3_wd1e4,feature_matrix,inception_matrix,lr1e3_wd1e4,Sparse log-scale optimizer profile on the fixed engineered matrix.,feature_matrix/inception_matrix__lr1e3_wd1e4,feature_matrix/inception_matrix__lr1e3_wd1e4/resolved_config.yaml
inception_matrix__lr3e3_wd1e5,"{""study.catalog_entry"": ""inception_matrix"", ""study.screen_profile_id"": ""lr3e3_wd1e5"", ""training.learning_rate"": 0.003, ""training.weight_decay"": 1e-05}",3ed69be270261d2ebff0adbe50e04895ec59a7adcf3c1b5cac7b23f2b3b33e5d,False,formal_inception_matrix_line_b_v2__lr3e3_wd1e5,feature_matrix,inception_matrix,lr3e3_wd1e5,Sparse log-scale optimizer profile on the fixed engineered matrix.,feature_matrix/inception_matrix__lr3e3_wd1e5,feature_matrix/inception_matrix__lr3e3_wd1e5/resolved_config.yaml
shapeformer_osd__lr1e4_wd1e3,"{""study.catalog_entry"": ""shapeformer_channel_specific_osd"", ""study.screen_profile_id"": ""lr1e4_wd1e3"", ""training.learning_rate"": 0.0001, ""training.weight_decay"": 0.001}",96700dd68192437ca772223bffc91c303feb701d8d1c91f8c72a3f4483a6ddcb,False,formal_shapeformer_channel_specific_osd_line_b_v2__lr1e4_wd1e3,raw,shapeformer_channel_specific_osd,lr1e4_wd1e3,Conservative optimizer profile; all literature-fidelity ShapeFormer values remain frozen.,raw/shapeformer_osd__lr1e4_wd1e3,raw/shapeformer_osd__lr1e4_wd1e3/resolved_config.yaml
shapeformer_osd__lr3e4_wd1e4,"{""study.catalog_entry"": ""shapeformer_channel_specific_osd"", ""study.screen_profile_id"": ""lr3e4_wd1e4"", ""training.learning_rate"": 0.0003, ""training.weight_decay"": 0.0001}",c37c0453458987be4229635265f2ca7433c03439271e43303f75e544a10a404d,False,formal_shapeformer_channel_specific_osd_line_b_v2__lr3e4_wd1e4,raw,shapeformer_channel_specific_osd,lr3e4_wd1e4,Conservative optimizer profile; all literature-fidelity ShapeFormer values remain frozen.,raw/shapeformer_osd__lr3e4_wd1e4,raw/shapeformer_osd__lr3e4_wd1e4/resolved_config.yaml
shapeformer_osd__lr1e3_wd1e5,"{""study.catalog_entry"": ""shapeformer_channel_specific_osd"", ""study.screen_profile_id"": ""lr1e3_wd1e5"", ""training.learning_rate"": 0.001, ""training.weight_decay"": 1e-05}",5c2f85a04d508f206e7795e8ec287d727b753c0be09b749254c1f045d8df01cd,False,formal_shapeformer_channel_specific_osd_line_b_v2__lr1e3_wd1e5,raw,shapeformer_channel_specific_osd,lr1e3_wd1e5,Conservative optimizer profile; all literature-fidelity ShapeFormer values remain frozen.,raw/shapeformer_osd__lr1e3_wd1e5,raw/shapeformer_osd__lr1e3_wd1e5/resolved_config.yaml
shapeformer_fixed__lr1e4_wd1e3,"{""study.catalog_entry"": ""shapeformer_effect_size_fixed_v1"", ""study.screen_profile_id"": ""lr1e4_wd1e3"", ""training.learning_rate"": 0.0001, ""training.weight_decay"": 0.001}",c9a8e73ef90e7ce0c506c8859987f444a1cd9453df47dccc25d69d21e5c6afc5,False,formal_shapeformer_effect_size_fixed_v1_line_b_v2__lr1e4_wd1e3,raw,shapeformer_effect_size_fixed_v1,lr1e4_wd1e3,Conservative optimizer profile; the named fixed-shapelet ablation remains frozen.,raw/shapeformer_fixed__lr1e4_wd1e3,raw/shapeformer_fixed__lr1e4_wd1e3/resolved_config.yaml
shapeformer_fixed__lr3e4_wd1e4,"{""study.catalog_entry"": ""shapeformer_effect_size_fixed_v1"", ""study.screen_profile_id"": ""lr3e4_wd1e4"", ""training.learning_rate"": 0.0003, ""training.weight_decay"": 0.0001}",4e9c61da03c78ec1608c66a303dee28350792460f64fcd9c5ef6471f99f884d6,False,formal_shapeformer_effect_size_fixed_v1_line_b_v2__lr3e4_wd1e4,raw,shapeformer_effect_size_fixed_v1,lr3e4_wd1e4,Conservative optimizer profile; the named fixed-shapelet ablation remains frozen.,raw/shapeformer_fixed__lr3e4_wd1e4,raw/shapeformer_fixed__lr3e4_wd1e4/resolved_config.yaml
shapeformer_fixed__lr1e3_wd1e5,"{""study.catalog_entry"": ""shapeformer_effect_size_fixed_v1"", ""study.screen_profile_id"": ""lr1e3_wd1e5"", ""training.learning_rate"": 0.001, ""training.weight_decay"": 1e-05}",b39004e0541e734f8612778da03f67d6f1fb0d670a9263f9c704afbc698562c2,False,formal_shapeformer_effect_size_fixed_v1_line_b_v2__lr1e3_wd1e5,raw,shapeformer_effect_size_fixed_v1,lr1e3_wd1e5,Conservative optimizer profile; the named fixed-shapelet ablation remains frozen.,raw/shapeformer_fixed__lr1e3_wd1e5,raw/shapeformer_fixed__lr1e3_wd1e5/resolved_config.yaml
fusion_compact__lr3e4_wd1e3,"{""study.catalog_entry"": ""fusion_compact"", ""study.screen_profile_id"": ""lr3e4_wd1e3"", ""training.learning_rate"": 0.0003, ""training.weight_decay"": 0.001}",3766b83dcefaf3956cb91c0d6d03766304c8d770aea67b527420365c9bc53f04,False,formal_fusion_compact_line_b_v2__lr3e4_wd1e3,fusion,fusion_compact,lr3e4_wd1e3,Sparse optimizer profile; both input branches and fusion architecture remain fixed.,fusion/fusion_compact__lr3e4_wd1e3,fusion/fusion_compact__lr3e4_wd1e3/resolved_config.yaml
fusion_compact__lr1e3_wd1e4,"{""study.catalog_entry"": ""fusion_compact"", ""study.screen_profile_id"": ""lr1e3_wd1e4"", ""training.learning_rate"": 0.001, ""training.weight_decay"": 0.0001}",8fa60c20cb1036e465303bfc2b2013930aeba2bf9721b1b25b979a83458c1adf,False,formal_fusion_compact_line_b_v2__lr1e3_wd1e4,fusion,fusion_compact,lr1e3_wd1e4,Sparse optimizer profile; both input branches and fusion architecture remain fixed.,fusion/fusion_compact__lr1e3_wd1e4,fusion/fusion_compact__lr1e3_wd1e4/resolved_config.yaml
fusion_compact__lr3e3_wd1e5,"{""study.catalog_entry"": ""fusion_compact"", ""study.screen_profile_id"": ""lr3e3_wd1e5"", ""training.learning_rate"": 0.003, ""training.weight_decay"": 1e-05}",7c6b927b3a24bd28423430c7dbd96caa71bb47cbd1fff6ac1a629dbacdf6ee87,False,formal_fusion_compact_line_b_v2__lr3e3_wd1e5,fusion,fusion_compact,lr3e3_wd1e5,Sparse optimizer profile; both input branches and fusion architecture remain fixed.,fusion/fusion_compact__lr3e3_wd1e5,fusion/fusion_compact__lr3e3_wd1e5/resolved_config.yaml
fusion_inception__lr3e4_wd1e3,"{""study.catalog_entry"": ""fusion_inception"", ""study.screen_profile_id"": ""lr3e4_wd1e3"", ""training.learning_rate"": 0.0003, ""training.weight_decay"": 0.001}",ece02a8181ead278fe2717d64d957d319e48dd24be01f5cb24b6ce52d21f68db,False,formal_fusion_inception_line_b_v2__lr3e4_wd1e3,fusion,fusion_inception,lr3e4_wd1e3,Sparse optimizer profile; both input branches and fusion architecture remain fixed.,fusion/fusion_inception__lr3e4_wd1e3,fusion/fusion_inception__lr3e4_wd1e3/resolved_config.yaml
fusion_inception__lr1e3_wd1e4,"{""study.catalog_entry"": ""fusion_inception"", ""study.screen_profile_id"": ""lr1e3_wd1e4"", ""training.learning_rate"": 0.001, ""training.weight_decay"": 0.0001}",3d793c343b3be354f62b59a00050bc49cfd92495e27a83fe25490c2238b7c38f,False,formal_fusion_inception_line_b_v2__lr1e3_wd1e4,fusion,fusion_inception,lr1e3_wd1e4,Sparse optimizer profile; both input branches and fusion architecture remain fixed.,fusion/fusion_inception__lr1e3_wd1e4,fusion/fusion_inception__lr1e3_wd1e4/resolved_config.yaml
fusion_inception__lr3e3_wd1e5,"{""study.catalog_entry"": ""fusion_inception"", ""study.screen_profile_id"": ""lr3e3_wd1e5"", ""training.learning_rate"": 0.003, ""training.weight_decay"": 1e-05}",84c0ff3381ab34c77848bbdd23ca979f19728db154c61d66c976fa6bd3f6de7f,False,formal_fusion_inception_line_b_v2__lr3e3_wd1e5,fusion,fusion_inception,lr3e3_wd1e5,Sparse optimizer profile; both input branches and fusion architecture remain fixed.,fusion/fusion_inception__lr3e3_wd1e5,fusion/fusion_inception__lr3e3_wd1e5/resolved_config.yaml
logistic_regression__c0p1,"{""model.architecture_parameters.C"": 0.1, ""model.logistic_c"": 0.1, ""study.catalog_entry"": ""logistic_regression"", ""study.screen_profile_id"": ""c0p1""}",74ae6fc4fcd3ca37075178eb4bc1134d6d47eaae119f6f3c0b1f96dd6e69cd46,False,formal_logistic_regression_l2_line_b_v2__c0p1,feature_vector,logistic_regression,c0p1,Three-point L2 inverse-regularization search; solver and preprocessing remain fixed.,feature_vector/logistic_regression__c0p1,feature_vector/logistic_regression__c0p1/resolved_config.yaml
logistic_regression__c1,"{""model.architecture_parameters.C"": 1.0, ""model.logistic_c"": 1.0, ""study.catalog_entry"": ""logistic_regression"", ""study.screen_profile_id"": ""c1""}",23f970606d3fbb543583a3a716b0b9eb3f1f86cff3b1d527b32f0cd4ae15ac59,False,formal_logistic_regression_l2_line_b_v2__c1,feature_vector,logistic_regression,c1,Three-point L2 inverse-regularization search; solver and preprocessing remain fixed.,feature_vector/logistic_regression__c1,feature_vector/logistic_regression__c1/resolved_config.yaml
logistic_regression__c10,"{""model.architecture_parameters.C"": 10.0, ""model.logistic_c"": 10.0, ""study.catalog_entry"": ""logistic_regression"", ""study.screen_profile_id"": ""c10""}",3251d1235f6ec3a6c18fa4ce9114ce6d1d40fcd683d6b31baed768c01aacc6bb,False,formal_logistic_regression_l2_line_b_v2__c10,feature_vector,logistic_regression,c10,Three-point L2 inverse-regularization search; solver and preprocessing remain fixed.,feature_vector/logistic_regression__c10,feature_vector/logistic_regression__c10/resolved_config.yaml
rbf_svm__c0p1_gamma0p001,"{""model.architecture_parameters.C"": 0.1, ""model.architecture_parameters.gamma"": 0.001, ""model.svm_c"": 0.1, ""model.svm_gamma"": 0.001, ""study.catalog_entry"": ""rbf_svm"", ""study.screen_profile_id"": ""c0p1_gamma0p001""}",31f4f3aeaca4f627d608b8294d8e8eb6949415d8662068aec7c52e3988a6c49d,False,formal_rbf_svm_line_b_v2__c0p1_gamma0p001,feature_vector,rbf_svm,c0p1_gamma0p001,Sparse C/gamma pair spanning broad RBF capacity and regularization.,feature_vector/rbf_svm__c0p1_gamma0p001,feature_vector/rbf_svm__c0p1_gamma0p001/resolved_config.yaml
rbf_svm__c1_gamma_scale,"{""model.architecture_parameters.C"": 1.0, ""model.architecture_parameters.gamma"": ""scale"", ""model.svm_c"": 1.0, ""model.svm_gamma"": ""scale"", ""study.catalog_entry"": ""rbf_svm"", ""study.screen_profile_id"": ""c1_gamma_scale""}",6db0af00b52da2dab35536b4eae776c9c3b5253ca774d2e26c6d8034ad194064,False,formal_rbf_svm_line_b_v2__c1_gamma_scale,feature_vector,rbf_svm,c1_gamma_scale,Sparse C/gamma pair spanning broad RBF capacity and regularization.,feature_vector/rbf_svm__c1_gamma_scale,feature_vector/rbf_svm__c1_gamma_scale/resolved_config.yaml
rbf_svm__c10_gamma0p1,"{""model.architecture_parameters.C"": 10.0, ""model.architecture_parameters.gamma"": 0.1, ""model.svm_c"": 10.0, ""model.svm_gamma"": 0.1, ""study.catalog_entry"": ""rbf_svm"", ""study.screen_profile_id"": ""c10_gamma0p1""}",ce714d8bb3ea724f96133304ff0333db02d2aba7ac65cfede5c9c6fb8ce72295,False,formal_rbf_svm_line_b_v2__c10_gamma0p1,feature_vector,rbf_svm,c10_gamma0p1,Sparse C/gamma pair spanning broad RBF capacity and regularization.,feature_vector/rbf_svm__c10_gamma0p1,feature_vector/rbf_svm__c10_gamma0p1/resolved_config.yaml
extra_trees__sqrt_leaf5,"{""model.architecture_parameters.max_features"": ""sqrt"", ""model.architecture_parameters.min_samples_leaf"": 5, ""model.extra_trees_max_features"": ""sqrt"", ""model.extra_trees_min_samples_leaf"": 5, ""study.catalog_entry"": ""extra_trees"", ""study.screen_profile_id"": ""sqrt_leaf5""}",7e1144fa9047c6a1bcacd0f6bffc3f5cbb831eeca308045898997926e55d98b1,False,formal_extra_trees_line_b_v2__sqrt_leaf5,feature_vector,extra_trees,sqrt_leaf5,Sparse feature-subsampling/leaf-regularization search; tree count remains 500.,feature_vector/extra_trees__sqrt_leaf5,feature_vector/extra_trees__sqrt_leaf5/resolved_config.yaml
extra_trees__half_leaf2,"{""model.architecture_parameters.max_features"": 0.5, ""model.architecture_parameters.min_samples_leaf"": 2, ""model.extra_trees_max_features"": 0.5, ""model.extra_trees_min_samples_leaf"": 2, ""study.catalog_entry"": ""extra_trees"", ""study.screen_profile_id"": ""half_leaf2""}",bafe463c07e18903251c598907ee2f783f1f03f8f38fa3148ddf6403f8e31858,False,formal_extra_trees_line_b_v2__half_leaf2,feature_vector,extra_trees,half_leaf2,Sparse feature-subsampling/leaf-regularization search; tree count remains 500.,feature_vector/extra_trees__half_leaf2,feature_vector/extra_trees__half_leaf2/resolved_config.yaml
extra_trees__all_leaf1,"{""model.architecture_parameters.max_features"": 1.0, ""model.architecture_parameters.min_samples_leaf"": 1, ""model.extra_trees_max_features"": 1.0, ""model.extra_trees_min_samples_leaf"": 1, ""study.catalog_entry"": ""extra_trees"", ""study.screen_profile_id"": ""all_leaf1""}",94cd813afc96af78520877821e67307c486a09e41896891a90db0caa128651a2,False,formal_extra_trees_line_b_v2__all_leaf1,feature_vector,extra_trees,all_leaf1,Sparse feature-subsampling/leaf-regularization search; tree count remains 500.,feature_vector/extra_trees__all_leaf1,feature_vector/extra_trees__all_leaf1/resolved_config.yaml
rocket__k1000_a10,"{""model.alpha"": 10.0, ""model.architecture_parameters.n_kernels"": 1000, ""model.architecture_parameters.ridge_alpha"": 10.0, ""model.n_kernels"": 1000, ""study.catalog_entry"": ""rocket_numpy"", ""study.screen_profile_id"": ""k1000_a10""}",5607b12e2cdf65ca62093c5a9a29a5c68fccc19a7942b66ff3d31ded0d0134bd,False,formal_rocket_numpy_line_b_v2__k1000_a10,feature_matrix,rocket_numpy,k1000_a10,Sparse transform-capacity/ridge pair; matrix and kernel-length family remain fixed.,feature_matrix/rocket__k1000_a10,feature_matrix/rocket__k1000_a10/resolved_config.yaml
rocket__k5000_a1,"{""model.alpha"": 1.0, ""model.architecture_parameters.n_kernels"": 5000, ""model.architecture_parameters.ridge_alpha"": 1.0, ""model.n_kernels"": 5000, ""study.catalog_entry"": ""rocket_numpy"", ""study.screen_profile_id"": ""k5000_a1""}",cad534faf2da3928c55f4a2d74fd8f60ab0f29d4defcd1ae55a4bc75f13163ea,False,formal_rocket_numpy_line_b_v2__k5000_a1,feature_matrix,rocket_numpy,k5000_a1,Sparse transform-capacity/ridge pair; matrix and kernel-length family remain fixed.,feature_matrix/rocket__k5000_a1,feature_matrix/rocket__k5000_a1/resolved_config.yaml
rocket__k10000_a0p1,"{""model.alpha"": 0.1, ""model.architecture_parameters.n_kernels"": 10000, ""model.architecture_parameters.ridge_alpha"": 0.1, ""model.n_kernels"": 10000, ""study.catalog_entry"": ""rocket_numpy"", ""study.screen_profile_id"": ""k10000_a0p1""}",c110d629d7ab0fe2b42d424fb78de75dc1aa9d1aded46209ac500f3b2cbaf452,False,formal_rocket_numpy_line_b_v2__k10000_a0p1,feature_matrix,rocket_numpy,k10000_a0p1,Sparse transform-capacity/ridge pair; matrix and kernel-length family remain fixed.,feature_matrix/rocket__k10000_a0p1,feature_matrix/rocket__k10000_a0p1/resolved_config.yaml
minirocket__k500_a10,"{""model.alpha"": 10.0, ""model.architecture_parameters.n_kernels"": 500, ""model.architecture_parameters.ridge_alpha"": 10.0, ""model.n_kernels"": 500, ""study.catalog_entry"": ""minirocket_ablation"", ""study.screen_profile_id"": ""k500_a10""}",d8be614f01d92fec623c7dd824abdeb5b4d448ef703d244e10b3a4d41cf333f4,False,formal_minirocket_ablation_line_b_v2__k500_a10,feature_matrix,minirocket_ablation,k500_a10,Sparse transform-capacity/ridge pair; matrix and kernel-length family remain fixed.,feature_matrix/minirocket__k500_a10,feature_matrix/minirocket__k500_a10/resolved_config.yaml
minirocket__k1000_a1,"{""model.alpha"": 1.0, ""model.architecture_parameters.n_kernels"": 1000, ""model.architecture_parameters.ridge_alpha"": 1.0, ""model.n_kernels"": 1000, ""study.catalog_entry"": ""minirocket_ablation"", ""study.screen_profile_id"": ""k1000_a1""}",dce6b3951385b43d5dbff9a9c0e619ef24a1196873ea89cf1aff6e367c9843c2,False,formal_minirocket_ablation_line_b_v2__k1000_a1,feature_matrix,minirocket_ablation,k1000_a1,Sparse transform-capacity/ridge pair; matrix and kernel-length family remain fixed.,feature_matrix/minirocket__k1000_a1,feature_matrix/minirocket__k1000_a1/resolved_config.yaml
minirocket__k5000_a0p1,"{""model.alpha"": 0.1, ""model.architecture_parameters.n_kernels"": 5000, ""model.architecture_parameters.ridge_alpha"": 0.1, ""model.n_kernels"": 5000, ""study.catalog_entry"": ""minirocket_ablation"", ""study.screen_profile_id"": ""k5000_a0p1""}",4824fd54d7abb88dfad9e1a755141115f614a9657d636864a75e3a35d12b9065,False,formal_minirocket_ablation_line_b_v2__k5000_a0p1,feature_matrix,minirocket_ablation,k5000_a0p1,Sparse transform-capacity/ridge pair; matrix and kernel-length family remain fixed.,feature_matrix/minirocket__k5000_a0p1,feature_matrix/minirocket__k5000_a0p1/resolved_config.yaml
