table_name,table_description,ordinal_position,column_name,display_label,source_fields,definition,formula,documentation_kind
early_three_model_exploratory_paired_tests,Persisted root CSV report table,11,holm_adjusted_p_within_metric_three_pairs,holm_adjusted_p_within_metric_three_pairs,holm_adjusted_p_within_metric_three_pairs,Holm step-down multiplicity-adjusted P value.,"ordered adjusted p_(i) = max_(j<=i) [(m-j+1) * p_(j)], capped at 1",holm_adjustment_formula
early_three_model_parameters,Persisted root CSV report table,1,study,study,study,Persisted source-table value for `study`; producer-specific semantics are not reinterpreted by the shared table renderer.,N/A — direct persisted/source-defined value; the table renderer applies no additional arithmetic.,safe_source_defined_fallback
early_three_model_parameters,Persisted root CSV report table,2,model_or_module,model_or_module,model_or_module,"Direct identifier, provenance, configuration, grouping, or status value.","N/A — identifier, provenance, configuration, status, or other non-arithmetic field.",non_arithmetic_audit_field
early_three_model_parameters,Persisted root CSV report table,3,parameter,parameter,parameter,"Direct identifier, provenance, configuration, grouping, or status value.","N/A — identifier, provenance, configuration, status, or other non-arithmetic field.",non_arithmetic_audit_field
early_three_model_parameters,Persisted root CSV report table,4,value,value,value,Persisted source-table value for `value`; producer-specific semantics are not reinterpreted by the shared table renderer.,N/A — direct persisted/source-defined value; the table renderer applies no additional arithmetic.,safe_source_defined_fallback
early_three_model_parameters,Persisted root CSV report table,5,provenance,provenance,provenance,Persisted source-table value for `provenance`; producer-specific semantics are not reinterpreted by the shared table renderer.,N/A — direct persisted/source-defined value; the table renderer applies no additional arithmetic.,safe_source_defined_fallback
early_three_model_per_class_summary,Persisted root CSV report table,1,model,model,model,"Direct identifier, provenance, configuration, grouping, or status value.","N/A — identifier, provenance, configuration, status, or other non-arithmetic field.",non_arithmetic_audit_field
early_three_model_per_class_summary,Persisted root CSV report table,2,class,class,class,Persisted source-table value for `class`; producer-specific semantics are not reinterpreted by the shared table renderer.,N/A — direct persisted/source-defined value; the table renderer applies no additional arithmetic.,safe_source_defined_fallback
early_three_model_per_class_summary,Persisted root CSV report table,3,precision_n_repeats,precision_n_repeats,precision_n_repeats,Positive predictive value for the named class.,precision = TP / (TP + FP),inferred_metric_formula
early_three_model_per_class_summary,Persisted root CSV report table,4,precision_mean,precision_mean,precision_mean,Arithmetic mean of Positive predictive value for the named class. over the table's declared units,mean = (1/n) * sum_i x_i,arithmetic_mean_formula
early_three_model_per_class_summary,Persisted root CSV report table,5,precision_sample_sd,precision_sample_sd,precision_sample_sd,Sample standard deviation of Positive predictive value for the named class.,sample SD = sqrt[sum_i (x_i - mean)^2 / (n - 1)],sample_sd_formula
early_three_model_per_class_summary,Persisted root CSV report table,6,precision_repeat_t_ci95_low,precision_repeat_t_ci95_low,precision_repeat_t_ci95_low,Reported 95% confidence bound or interval for Positive predictive value for the named class.,"repeat CI95 = 1 * (mean +/- t_(0.975,n-1) * sample_SD / sqrt(n))",repeat_student_t_interval_formula
early_three_model_per_class_summary,Persisted root CSV report table,7,precision_repeat_t_ci95_high,precision_repeat_t_ci95_high,precision_repeat_t_ci95_high,Reported 95% confidence bound or interval for Positive predictive value for the named class.,"repeat CI95 = 1 * (mean +/- t_(0.975,n-1) * sample_SD / sqrt(n))",repeat_student_t_interval_formula
early_three_model_per_class_summary,Persisted root CSV report table,8,precision_repeat_t_ci95_method,precision_repeat_t_ci95_method,precision_repeat_t_ci95_method,"Direct method, applicability, reason, metric-roster, or cluster-unit provenance for the reported statistic.","N/A — identifier, provenance, configuration, status, or other non-arithmetic field.",non_arithmetic_audit_field
early_three_model_per_class_summary,Persisted root CSV report table,9,sensitivity_n_repeats,sensitivity_n_repeats,sensitivity_n_repeats,True-positive rate for the positive class.,sensitivity = TP / (TP + FN),inferred_metric_formula
early_three_model_per_class_summary,Persisted root CSV report table,10,sensitivity_mean,sensitivity_mean,sensitivity_mean,Arithmetic mean of True-positive rate for the positive class. over the table's declared units,mean = (1/n) * sum_i x_i,arithmetic_mean_formula
early_three_model_per_class_summary,Persisted root CSV report table,11,sensitivity_sample_sd,sensitivity_sample_sd,sensitivity_sample_sd,Sample standard deviation of True-positive rate for the positive class.,sample SD = sqrt[sum_i (x_i - mean)^2 / (n - 1)],sample_sd_formula
early_three_model_per_class_summary,Persisted root CSV report table,12,sensitivity_repeat_t_ci95_low,sensitivity_repeat_t_ci95_low,sensitivity_repeat_t_ci95_low,Reported 95% confidence bound or interval for True-positive rate for the positive class.,"repeat CI95 = 1 * (mean +/- t_(0.975,n-1) * sample_SD / sqrt(n))",repeat_student_t_interval_formula
early_three_model_per_class_summary,Persisted root CSV report table,13,sensitivity_repeat_t_ci95_high,sensitivity_repeat_t_ci95_high,sensitivity_repeat_t_ci95_high,Reported 95% confidence bound or interval for True-positive rate for the positive class.,"repeat CI95 = 1 * (mean +/- t_(0.975,n-1) * sample_SD / sqrt(n))",repeat_student_t_interval_formula
early_three_model_per_class_summary,Persisted root CSV report table,14,sensitivity_repeat_t_ci95_method,sensitivity_repeat_t_ci95_method,sensitivity_repeat_t_ci95_method,"Direct method, applicability, reason, metric-roster, or cluster-unit provenance for the reported statistic.","N/A — identifier, provenance, configuration, status, or other non-arithmetic field.",non_arithmetic_audit_field
early_three_model_per_class_summary,Persisted root CSV report table,15,specificity_n_repeats,specificity_n_repeats,specificity_n_repeats,True-negative rate for the negative class.,specificity = TN / (TN + FP),inferred_metric_formula
early_three_model_per_class_summary,Persisted root CSV report table,16,specificity_mean,specificity_mean,specificity_mean,Arithmetic mean of True-negative rate for the negative class. over the table's declared units,mean = (1/n) * sum_i x_i,arithmetic_mean_formula
early_three_model_per_class_summary,Persisted root CSV report table,17,specificity_sample_sd,specificity_sample_sd,specificity_sample_sd,Sample standard deviation of True-negative rate for the negative class.,sample SD = sqrt[sum_i (x_i - mean)^2 / (n - 1)],sample_sd_formula
early_three_model_per_class_summary,Persisted root CSV report table,18,specificity_repeat_t_ci95_low,specificity_repeat_t_ci95_low,specificity_repeat_t_ci95_low,Reported 95% confidence bound or interval for True-negative rate for the negative class.,"repeat CI95 = 1 * (mean +/- t_(0.975,n-1) * sample_SD / sqrt(n))",repeat_student_t_interval_formula
early_three_model_per_class_summary,Persisted root CSV report table,19,specificity_repeat_t_ci95_high,specificity_repeat_t_ci95_high,specificity_repeat_t_ci95_high,Reported 95% confidence bound or interval for True-negative rate for the negative class.,"repeat CI95 = 1 * (mean +/- t_(0.975,n-1) * sample_SD / sqrt(n))",repeat_student_t_interval_formula
early_three_model_per_class_summary,Persisted root CSV report table,20,specificity_repeat_t_ci95_method,specificity_repeat_t_ci95_method,specificity_repeat_t_ci95_method,"Direct method, applicability, reason, metric-roster, or cluster-unit provenance for the reported statistic.","N/A — identifier, provenance, configuration, status, or other non-arithmetic field.",non_arithmetic_audit_field
early_three_model_per_class_summary,Persisted root CSV report table,21,balanced_accuracy_n_repeats,balanced_accuracy_n_repeats,balanced_accuracy_n_repeats,Macro-average recall across the K declared classes.,BA = (1/K) * sum_c [TP_c / (TP_c + FN_c)],inferred_metric_formula
early_three_model_per_class_summary,Persisted root CSV report table,22,balanced_accuracy_mean,balanced_accuracy_mean,balanced_accuracy_mean,Arithmetic mean of Macro-average recall across the K declared classes. over the table's declared units,mean = (1/n) * sum_i x_i,arithmetic_mean_formula
early_three_model_per_class_summary,Persisted root CSV report table,23,balanced_accuracy_sample_sd,balanced_accuracy_sample_sd,balanced_accuracy_sample_sd,Sample standard deviation of Macro-average recall across the K declared classes.,sample SD = sqrt[sum_i (x_i - mean)^2 / (n - 1)],sample_sd_formula
early_three_model_per_class_summary,Persisted root CSV report table,24,balanced_accuracy_repeat_t_ci95_low,balanced_accuracy_repeat_t_ci95_low,balanced_accuracy_repeat_t_ci95_low,Reported 95% confidence bound or interval for Macro-average recall across the K declared classes.,"repeat CI95 = 1 * (mean +/- t_(0.975,n-1) * sample_SD / sqrt(n))",repeat_student_t_interval_formula
early_three_model_per_class_summary,Persisted root CSV report table,25,balanced_accuracy_repeat_t_ci95_high,balanced_accuracy_repeat_t_ci95_high,balanced_accuracy_repeat_t_ci95_high,Reported 95% confidence bound or interval for Macro-average recall across the K declared classes.,"repeat CI95 = 1 * (mean +/- t_(0.975,n-1) * sample_SD / sqrt(n))",repeat_student_t_interval_formula
early_three_model_per_class_summary,Persisted root CSV report table,26,balanced_accuracy_repeat_t_ci95_method,balanced_accuracy_repeat_t_ci95_method,balanced_accuracy_repeat_t_ci95_method,"Direct method, applicability, reason, metric-roster, or cluster-unit provenance for the reported statistic.","N/A — identifier, provenance, configuration, status, or other non-arithmetic field.",non_arithmetic_audit_field
early_three_model_per_class_summary,Persisted root CSV report table,27,f1_n_repeats,f1_n_repeats,f1_n_repeats,Harmonic mean of precision and recall for the named class.,F1 = 2 * precision * recall / (precision + recall),inferred_metric_formula
early_three_model_per_class_summary,Persisted root CSV report table,28,f1_mean,f1_mean,f1_mean,Arithmetic mean of Harmonic mean of precision and recall for the named class. over the table's declared units,mean = (1/n) * sum_i x_i,arithmetic_mean_formula
early_three_model_per_class_summary,Persisted root CSV report table,29,f1_sample_sd,f1_sample_sd,f1_sample_sd,Sample standard deviation of Harmonic mean of precision and recall for the named class.,sample SD = sqrt[sum_i (x_i - mean)^2 / (n - 1)],sample_sd_formula
early_three_model_per_class_summary,Persisted root CSV report table,30,f1_repeat_t_ci95_low,f1_repeat_t_ci95_low,f1_repeat_t_ci95_low,Reported 95% confidence bound or interval for Harmonic mean of precision and recall for the named class.,"repeat CI95 = 1 * (mean +/- t_(0.975,n-1) * sample_SD / sqrt(n))",repeat_student_t_interval_formula
early_three_model_per_class_summary,Persisted root CSV report table,31,f1_repeat_t_ci95_high,f1_repeat_t_ci95_high,f1_repeat_t_ci95_high,Reported 95% confidence bound or interval for Harmonic mean of precision and recall for the named class.,"repeat CI95 = 1 * (mean +/- t_(0.975,n-1) * sample_SD / sqrt(n))",repeat_student_t_interval_formula
early_three_model_per_class_summary,Persisted root CSV report table,32,f1_repeat_t_ci95_method,f1_repeat_t_ci95_method,f1_repeat_t_ci95_method,"Direct method, applicability, reason, metric-roster, or cluster-unit provenance for the reported statistic.","N/A — identifier, provenance, configuration, status, or other non-arithmetic field.",non_arithmetic_audit_field
early_three_model_per_class_summary,Persisted root CSV report table,33,support_n_repeats,support_n_repeats,support_n_repeats,Number of evaluated units whose true label is the named class.,support_c = TP_c + FN_c,inferred_metric_formula
early_three_model_per_class_summary,Persisted root CSV report table,34,support_mean,support_mean,support_mean,Arithmetic mean of Number of evaluated units whose true label is the named class. over the table's declared units,mean = (1/n) * sum_i x_i,arithmetic_mean_formula
early_three_model_per_class_summary,Persisted root CSV report table,35,support_sample_sd,support_sample_sd,support_sample_sd,Sample standard deviation of Number of evaluated units whose true label is the named class.,sample SD = sqrt[sum_i (x_i - mean)^2 / (n - 1)],sample_sd_formula
early_three_model_per_class_summary,Persisted root CSV report table,36,support_repeat_t_ci95_low,support_repeat_t_ci95_low,support_repeat_t_ci95_low,Reported 95% confidence bound or interval for Number of evaluated units whose true label is the named class.,"repeat CI95 = 1 * (mean +/- t_(0.975,n-1) * sample_SD / sqrt(n))",repeat_student_t_interval_formula
early_three_model_per_class_summary,Persisted root CSV report table,37,support_repeat_t_ci95_high,support_repeat_t_ci95_high,support_repeat_t_ci95_high,Reported 95% confidence bound or interval for Number of evaluated units whose true label is the named class.,"repeat CI95 = 1 * (mean +/- t_(0.975,n-1) * sample_SD / sqrt(n))",repeat_student_t_interval_formula
early_three_model_per_class_summary,Persisted root CSV report table,38,support_repeat_t_ci95_method,support_repeat_t_ci95_method,support_repeat_t_ci95_method,"Direct method, applicability, reason, metric-roster, or cluster-unit provenance for the reported statistic.","N/A — identifier, provenance, configuration, status, or other non-arithmetic field.",non_arithmetic_audit_field
early_three_model_per_class_summary,Persisted root CSV report table,39,predicted_support_n_repeats,predicted_support_n_repeats,predicted_support_n_repeats,Number of evaluated units predicted as the named class.,predicted support_c = TP_c + FP_c,inferred_metric_formula
early_three_model_per_class_summary,Persisted root CSV report table,40,predicted_support_mean,predicted_support_mean,predicted_support_mean,Arithmetic mean of Number of evaluated units predicted as the named class. over the table's declared units,mean = (1/n) * sum_i x_i,arithmetic_mean_formula
early_three_model_per_class_summary,Persisted root CSV report table,41,predicted_support_sample_sd,predicted_support_sample_sd,predicted_support_sample_sd,Sample standard deviation of Number of evaluated units predicted as the named class.,sample SD = sqrt[sum_i (x_i - mean)^2 / (n - 1)],sample_sd_formula
early_three_model_per_class_summary,Persisted root CSV report table,42,predicted_support_repeat_t_ci95_low,predicted_support_repeat_t_ci95_low,predicted_support_repeat_t_ci95_low,Reported 95% confidence bound or interval for Number of evaluated units predicted as the named class.,"repeat CI95 = 1 * (mean +/- t_(0.975,n-1) * sample_SD / sqrt(n))",repeat_student_t_interval_formula
early_three_model_per_class_summary,Persisted root CSV report table,43,predicted_support_repeat_t_ci95_high,predicted_support_repeat_t_ci95_high,predicted_support_repeat_t_ci95_high,Reported 95% confidence bound or interval for Number of evaluated units predicted as the named class.,"repeat CI95 = 1 * (mean +/- t_(0.975,n-1) * sample_SD / sqrt(n))",repeat_student_t_interval_formula
early_three_model_per_class_summary,Persisted root CSV report table,44,predicted_support_repeat_t_ci95_method,predicted_support_repeat_t_ci95_method,predicted_support_repeat_t_ci95_method,"Direct method, applicability, reason, metric-roster, or cluster-unit provenance for the reported statistic.","N/A — identifier, provenance, configuration, status, or other non-arithmetic field.",non_arithmetic_audit_field
early_three_model_per_class_summary,Persisted root CSV report table,45,true_positive_n_repeats,true_positive_n_repeats,true_positive_n_repeats,Count of named-class units predicted as that class.,TP_c = sum_i 1[y_i=c and predicted_i=c],inferred_metric_formula
early_three_model_per_class_summary,Persisted root CSV report table,46,true_positive_mean,true_positive_mean,true_positive_mean,Arithmetic mean of Count of named-class units predicted as that class. over the table's declared units,mean = (1/n) * sum_i x_i,arithmetic_mean_formula
early_three_model_per_class_summary,Persisted root CSV report table,47,true_positive_sample_sd,true_positive_sample_sd,true_positive_sample_sd,Sample standard deviation of Count of named-class units predicted as that class.,sample SD = sqrt[sum_i (x_i - mean)^2 / (n - 1)],sample_sd_formula
early_three_model_per_class_summary,Persisted root CSV report table,48,true_positive_repeat_t_ci95_low,true_positive_repeat_t_ci95_low,true_positive_repeat_t_ci95_low,Reported 95% confidence bound or interval for Count of named-class units predicted as that class.,"repeat CI95 = 1 * (mean +/- t_(0.975,n-1) * sample_SD / sqrt(n))",repeat_student_t_interval_formula
early_three_model_per_class_summary,Persisted root CSV report table,49,true_positive_repeat_t_ci95_high,true_positive_repeat_t_ci95_high,true_positive_repeat_t_ci95_high,Reported 95% confidence bound or interval for Count of named-class units predicted as that class.,"repeat CI95 = 1 * (mean +/- t_(0.975,n-1) * sample_SD / sqrt(n))",repeat_student_t_interval_formula
early_three_model_per_class_summary,Persisted root CSV report table,50,true_positive_repeat_t_ci95_method,true_positive_repeat_t_ci95_method,true_positive_repeat_t_ci95_method,"Direct method, applicability, reason, metric-roster, or cluster-unit provenance for the reported statistic.","N/A — identifier, provenance, configuration, status, or other non-arithmetic field.",non_arithmetic_audit_field
early_three_model_per_class_summary,Persisted root CSV report table,51,false_positive_n_repeats,false_positive_n_repeats,false_positive_n_repeats,Count of non-class units predicted as the named class.,FP_c = sum_i 1[y_i!=c and predicted_i=c],inferred_metric_formula
early_three_model_per_class_summary,Persisted root CSV report table,52,false_positive_mean,false_positive_mean,false_positive_mean,Arithmetic mean of Count of non-class units predicted as the named class. over the table's declared units,mean = (1/n) * sum_i x_i,arithmetic_mean_formula
early_three_model_per_class_summary,Persisted root CSV report table,53,false_positive_sample_sd,false_positive_sample_sd,false_positive_sample_sd,Sample standard deviation of Count of non-class units predicted as the named class.,sample SD = sqrt[sum_i (x_i - mean)^2 / (n - 1)],sample_sd_formula
early_three_model_per_class_summary,Persisted root CSV report table,54,false_positive_repeat_t_ci95_low,false_positive_repeat_t_ci95_low,false_positive_repeat_t_ci95_low,Reported 95% confidence bound or interval for Count of non-class units predicted as the named class.,"repeat CI95 = 1 * (mean +/- t_(0.975,n-1) * sample_SD / sqrt(n))",repeat_student_t_interval_formula
early_three_model_per_class_summary,Persisted root CSV report table,55,false_positive_repeat_t_ci95_high,false_positive_repeat_t_ci95_high,false_positive_repeat_t_ci95_high,Reported 95% confidence bound or interval for Count of non-class units predicted as the named class.,"repeat CI95 = 1 * (mean +/- t_(0.975,n-1) * sample_SD / sqrt(n))",repeat_student_t_interval_formula
early_three_model_per_class_summary,Persisted root CSV report table,56,false_positive_repeat_t_ci95_method,false_positive_repeat_t_ci95_method,false_positive_repeat_t_ci95_method,"Direct method, applicability, reason, metric-roster, or cluster-unit provenance for the reported statistic.","N/A — identifier, provenance, configuration, status, or other non-arithmetic field.",non_arithmetic_audit_field
early_three_model_per_class_summary,Persisted root CSV report table,57,false_negative_n_repeats,false_negative_n_repeats,false_negative_n_repeats,Count of named-class units not predicted as that class.,FN_c = sum_i 1[y_i=c and predicted_i!=c],inferred_metric_formula
early_three_model_per_class_summary,Persisted root CSV report table,58,false_negative_mean,false_negative_mean,false_negative_mean,Arithmetic mean of Count of named-class units not predicted as that class. over the table's declared units,mean = (1/n) * sum_i x_i,arithmetic_mean_formula
early_three_model_per_class_summary,Persisted root CSV report table,59,false_negative_sample_sd,false_negative_sample_sd,false_negative_sample_sd,Sample standard deviation of Count of named-class units not predicted as that class.,sample SD = sqrt[sum_i (x_i - mean)^2 / (n - 1)],sample_sd_formula
early_three_model_per_class_summary,Persisted root CSV report table,60,false_negative_repeat_t_ci95_low,false_negative_repeat_t_ci95_low,false_negative_repeat_t_ci95_low,Reported 95% confidence bound or interval for Count of named-class units not predicted as that class.,"repeat CI95 = 1 * (mean +/- t_(0.975,n-1) * sample_SD / sqrt(n))",repeat_student_t_interval_formula
early_three_model_per_class_summary,Persisted root CSV report table,61,false_negative_repeat_t_ci95_high,false_negative_repeat_t_ci95_high,false_negative_repeat_t_ci95_high,Reported 95% confidence bound or interval for Count of named-class units not predicted as that class.,"repeat CI95 = 1 * (mean +/- t_(0.975,n-1) * sample_SD / sqrt(n))",repeat_student_t_interval_formula
early_three_model_per_class_summary,Persisted root CSV report table,62,false_negative_repeat_t_ci95_method,false_negative_repeat_t_ci95_method,false_negative_repeat_t_ci95_method,"Direct method, applicability, reason, metric-roster, or cluster-unit provenance for the reported statistic.","N/A — identifier, provenance, configuration, status, or other non-arithmetic field.",non_arithmetic_audit_field
early_three_model_per_class_summary,Persisted root CSV report table,63,true_negative_n_repeats,true_negative_n_repeats,true_negative_n_repeats,Count of non-class units not predicted as the named class.,TN_c = sum_i 1[y_i!=c and predicted_i!=c],inferred_metric_formula
early_three_model_per_class_summary,Persisted root CSV report table,64,true_negative_mean,true_negative_mean,true_negative_mean,Arithmetic mean of Count of non-class units not predicted as the named class. over the table's declared units,mean = (1/n) * sum_i x_i,arithmetic_mean_formula
early_three_model_per_class_summary,Persisted root CSV report table,65,true_negative_sample_sd,true_negative_sample_sd,true_negative_sample_sd,Sample standard deviation of Count of non-class units not predicted as the named class.,sample SD = sqrt[sum_i (x_i - mean)^2 / (n - 1)],sample_sd_formula
early_three_model_per_class_summary,Persisted root CSV report table,66,true_negative_repeat_t_ci95_low,true_negative_repeat_t_ci95_low,true_negative_repeat_t_ci95_low,Reported 95% confidence bound or interval for Count of non-class units not predicted as the named class.,"repeat CI95 = 1 * (mean +/- t_(0.975,n-1) * sample_SD / sqrt(n))",repeat_student_t_interval_formula
early_three_model_per_class_summary,Persisted root CSV report table,67,true_negative_repeat_t_ci95_high,true_negative_repeat_t_ci95_high,true_negative_repeat_t_ci95_high,Reported 95% confidence bound or interval for Count of non-class units not predicted as the named class.,"repeat CI95 = 1 * (mean +/- t_(0.975,n-1) * sample_SD / sqrt(n))",repeat_student_t_interval_formula
early_three_model_per_class_summary,Persisted root CSV report table,68,true_negative_repeat_t_ci95_method,true_negative_repeat_t_ci95_method,true_negative_repeat_t_ci95_method,"Direct method, applicability, reason, metric-roster, or cluster-unit provenance for the reported statistic.","N/A — identifier, provenance, configuration, status, or other non-arithmetic field.",non_arithmetic_audit_field
early_three_model_per_class_summary,Persisted root CSV report table,69,roc_auc,roc_auc,roc_auc,Area under the empirical receiver-operating-characteristic curve.,ROC-AUC = integral_0^1 TPR(FPR) dFPR (empirical trapezoidal area),explicit_metric_formula
early_three_model_per_class_summary,Persisted root CSV report table,70,pr_auc,pr_auc,pr_auc,Area/average precision under the empirical precision-recall curve.,AP = sum_n (recall_n - recall_(n-1)) * precision_n,explicit_metric_formula
early_three_model_per_class_summary,Persisted root CSV report table,71,roc_auc_applicability,roc_auc_applicability,roc_auc_applicability,"Direct method, applicability, reason, metric-roster, or cluster-unit provenance for the reported statistic.","N/A — identifier, provenance, configuration, status, or other non-arithmetic field.",non_arithmetic_audit_field
early_three_model_per_class_summary,Persisted root CSV report table,72,pr_auc_applicability,pr_auc_applicability,pr_auc_applicability,"Direct method, applicability, reason, metric-roster, or cluster-unit provenance for the reported statistic.","N/A — identifier, provenance, configuration, status, or other non-arithmetic field.",non_arithmetic_audit_field
early_three_model_repeat_metrics,Persisted root CSV report table,1,timestamp,timestamp,timestamp,"Direct identifier, provenance, configuration, grouping, or status value.","N/A — identifier, provenance, configuration, status, or other non-arithmetic field.",non_arithmetic_audit_field
early_three_model_repeat_metrics,Persisted root CSV report table,2,status,status,status,"Direct identifier, provenance, configuration, grouping, or status value.","N/A — identifier, provenance, configuration, status, or other non-arithmetic field.",non_arithmetic_audit_field
early_three_model_repeat_metrics,Persisted root CSV report table,3,error,error,error,"Direct identifier, provenance, configuration, grouping, or status value.","N/A — identifier, provenance, configuration, status, or other non-arithmetic field.",non_arithmetic_audit_field
early_three_model_repeat_metrics,Persisted root CSV report table,4,group_id,group_id,group_id,"Direct identifier, provenance, configuration, grouping, or status value.","N/A — identifier, provenance, configuration, status, or other non-arithmetic field.",non_arithmetic_audit_field
early_three_model_repeat_metrics,Persisted root CSV report table,5,repeat,repeat,repeat,"Direct identifier, provenance, configuration, grouping, or status value.","N/A — identifier, provenance, configuration, status, or other non-arithmetic field.",non_arithmetic_audit_field
early_three_model_repeat_metrics,Persisted root CSV report table,6,seed,seed,seed,"Direct identifier, provenance, configuration, grouping, or status value.","N/A — identifier, provenance, configuration, status, or other non-arithmetic field.",non_arithmetic_audit_field
early_three_model_repeat_metrics,Persisted root CSV report table,7,model,model,model,"Direct identifier, provenance, configuration, grouping, or status value.","N/A — identifier, provenance, configuration, status, or other non-arithmetic field.",non_arithmetic_audit_field
early_three_model_repeat_metrics,Persisted root CSV report table,8,resolved_model,resolved_model,resolved_model,"Direct identifier, provenance, configuration, grouping, or status value.","N/A — identifier, provenance, configuration, status, or other non-arithmetic field.",non_arithmetic_audit_field
early_three_model_repeat_metrics,Persisted root CSV report table,9,extra_input,extra_input,extra_input,Persisted source-table value for `extra_input`; producer-specific semantics are not reinterpreted by the shared table renderer.,N/A — direct persisted/source-defined value; the table renderer applies no additional arithmetic.,safe_source_defined_fallback
early_three_model_repeat_metrics,Persisted root CSV report table,10,cnn_epochs,cnn_epochs,cnn_epochs,Persisted source-table value for `cnn_epochs`; producer-specific semantics are not reinterpreted by the shared table renderer.,N/A — direct persisted/source-defined value; the table renderer applies no additional arithmetic.,safe_source_defined_fallback
early_three_model_repeat_metrics,Persisted root CSV report table,11,cnn_patience,cnn_patience,cnn_patience,Persisted source-table value for `cnn_patience`; producer-specific semantics are not reinterpreted by the shared table renderer.,N/A — direct persisted/source-defined value; the table renderer applies no additional arithmetic.,safe_source_defined_fallback
early_three_model_repeat_metrics,Persisted root CSV report table,12,window_sec,window_sec,window_sec,Persisted source-table value for `window_sec`; producer-specific semantics are not reinterpreted by the shared table renderer.,N/A — direct persisted/source-defined value; the table renderer applies no additional arithmetic.,safe_source_defined_fallback
early_three_model_repeat_metrics,Persisted root CSV report table,13,hop_sec,hop_sec,hop_sec,Persisted source-table value for `hop_sec`; producer-specific semantics are not reinterpreted by the shared table renderer.,N/A — direct persisted/source-defined value; the table renderer applies no additional arithmetic.,safe_source_defined_fallback
early_three_model_repeat_metrics,Persisted root CSV report table,14,overlap_pct,overlap_pct,overlap_pct,Persisted source-table value for `overlap_pct`; producer-specific semantics are not reinterpreted by the shared table renderer.,N/A — direct persisted/source-defined value; the table renderer applies no additional arithmetic.,safe_source_defined_fallback
early_three_model_repeat_metrics,Persisted root CSV report table,15,max_windows_fraction,max_windows_fraction,max_windows_fraction,Proportion for the numerator and denominator named by this column.,rate = stated numerator count / stated eligible denominator count,rate_formula
early_three_model_repeat_metrics,Persisted root CSV report table,16,n_windows,n_windows,n_windows,Number of units satisfying the column's stated inclusion condition.,count = sum_i 1[unit i satisfies the stated condition],count_formula
early_three_model_repeat_metrics,Persisted root CSV report table,17,n_extra_features,n_extra_features,n_extra_features,Number of units satisfying the column's stated inclusion condition.,count = sum_i 1[unit i satisfies the stated condition],count_formula
