parameter_path,case_values
training.classifier_role_families,"{""inception_full_tuned_static"": [""B"", ""R""], ""s1_163_v2_port_all_roles_modules_off"": [""B"", ""R"", ""S"", ""W""], ""tuned_all_roles__inception_full"": [""B"", ""R"", ""S"", ""W""], ""tuned_all_roles__inception_small"": [""B"", ""R"", ""S"", ""W""], ""tuned_all_roles__inception_small_no_gravity"": [""B"", ""R"", ""S"", ""W""]}"
training.fixed_epochs,"{""inception_full_tuned_static"": 10, ""s1_163_v2_port_all_roles_modules_off"": 15, ""tuned_all_roles__inception_full"": 10, ""tuned_all_roles__inception_small"": 10, ""tuned_all_roles__inception_small_no_gravity"": 10}"
training.label_smoothing,"{""inception_full_tuned_static"": 0.2, ""s1_163_v2_port_all_roles_modules_off"": 0.1, ""tuned_all_roles__inception_full"": 0.2, ""tuned_all_roles__inception_small"": 0.2, ""tuned_all_roles__inception_small_no_gravity"": 0.2}"
training.learning_rate,"{""inception_full_tuned_static"": 0.0003, ""s1_163_v2_port_all_roles_modules_off"": 0.001, ""tuned_all_roles__inception_full"": 0.0003, ""tuned_all_roles__inception_small"": 0.0003, ""tuned_all_roles__inception_small_no_gravity"": 0.0003}"
training.optimizer,"{""inception_full_tuned_static"": ""adamw"", ""s1_163_v2_port_all_roles_modules_off"": ""adamw"", ""tuned_all_roles__inception_full"": ""adamw"", ""tuned_all_roles__inception_small"": ""adamw"", ""tuned_all_roles__inception_small_no_gravity"": ""adamw""}"
training.sampler,"{""inception_full_tuned_static"": ""exhaustive_shuffle_without_replacement"", ""s1_163_v2_port_all_roles_modules_off"": ""exhaustive_shuffle_without_replacement"", ""tuned_all_roles__inception_full"": ""exhaustive_shuffle_without_replacement"", ""tuned_all_roles__inception_small"": ""exhaustive_shuffle_without_replacement"", ""tuned_all_roles__inception_small_no_gravity"": ""exhaustive_shuffle_without_replacement""}"
training.weight_decay,"{""inception_full_tuned_static"": 0.001, ""s1_163_v2_port_all_roles_modules_off"": 0.0005, ""tuned_all_roles__inception_full"": 0.001, ""tuned_all_roles__inception_small"": 0.001, ""tuned_all_roles__inception_small_no_gravity"": 0.001}"
windows.raw_dl.cap_fraction_per_file,"{""inception_full_tuned_static"": null, ""s1_163_v2_port_all_roles_modules_off"": 0.9, ""tuned_all_roles__inception_full"": null, ""tuned_all_roles__inception_small"": null, ""tuned_all_roles__inception_small_no_gravity"": null}"
windows.raw_dl.cap_per_file,"{""inception_full_tuned_static"": 128, ""s1_163_v2_port_all_roles_modules_off"": null, ""tuned_all_roles__inception_full"": 128, ""tuned_all_roles__inception_small"": 128, ""tuned_all_roles__inception_small_no_gravity"": 128}"
windows.raw_dl.end_alignment,"{""inception_full_tuned_static"": ""not_applicable"", ""s1_163_v2_port_all_roles_modules_off"": ""not_applicable"", ""tuned_all_roles__inception_full"": ""include_right_aligned_if_distinct"", ""tuned_all_roles__inception_small"": ""include_right_aligned_if_distinct"", ""tuned_all_roles__inception_small_no_gravity"": ""include_right_aligned_if_distinct""}"
windows.raw_dl.hop_s,"{""inception_full_tuned_static"": 2.5, ""s1_163_v2_port_all_roles_modules_off"": 2.5, ""tuned_all_roles__inception_full"": 2.5, ""tuned_all_roles__inception_small"": 2.5, ""tuned_all_roles__inception_small_no_gravity"": 2.5}"
windows.raw_dl.length_s,"{""inception_full_tuned_static"": 5.0, ""s1_163_v2_port_all_roles_modules_off"": 5.0, ""tuned_all_roles__inception_full"": 5.0, ""tuned_all_roles__inception_small"": 5.0, ""tuned_all_roles__inception_small_no_gravity"": 5.0}"
windows.raw_dl.min_valid_fraction,"{""inception_full_tuned_static"": ""not_applicable"", ""s1_163_v2_port_all_roles_modules_off"": ""not_applicable"", ""tuned_all_roles__inception_full"": 1.0, ""tuned_all_roles__inception_small"": 1.0, ""tuned_all_roles__inception_small_no_gravity"": 1.0}"
windows.raw_dl.padding,"{""inception_full_tuned_static"": ""not_applicable"", ""s1_163_v2_port_all_roles_modules_off"": ""not_applicable"", ""tuned_all_roles__inception_full"": ""none_complete_windows_only"", ""tuned_all_roles__inception_small"": ""none_complete_windows_only"", ""tuned_all_roles__inception_small_no_gravity"": ""none_complete_windows_only""}"
